Max Health,Attack,Extra health,Extra attack,Min Brick Spawn,Max Brick Spawn,Player Chance,Red Chance,Moving Brick,Shield Brick,Moving Fast Brick,Trap Brick
20,6,,,1,4,70,80,,10,,10
26,7,6,1,1,4,70,80,,10,,10
32,8,6,1,1,4,65,80,,10,,10
38,9,6,1,1,4,65,70,,15,,15
47,10,9,1,1,3,65,70,,15,,15
56,11,9,1,1,3,65,70,,15,,15
65,12,9,1,1,3,60,70,,15,,15
74,13,9,1,1,3,60,60,,20,,20
83,14,9,1,1,3,55,60,,20,,20
133,19,50,5,1,2,50,50,,25,,25
73,11,-60,-8,1,4,60,70,,15,,15
74,13,1,2,1,3,60,60,,20,,20
77,15,3,2,1,3,60,60,,20,,20
88,17,11,2,1,3,60,60,,20,,20
100,19,12,2,1,2,60,60,,20,,20
111,21,11,2,1,2,60,60,,20,,20
123,23,12,2,1,2,60,50,,25,,25
134,25,11,2,"0,5",2,60,50,,25,,25
147,27,13,2,"0,5",2,50,50,,25,,25
197,33,50,6,"0,5",2,50,40,,20,20,20
137,25,-60,-8,1,3,60,60,,15,10,15
140,26,3,1,1,3,60,60,,15,10,15
143,28,3,2,1,2,60,60,,15,10,15
146,30,3,2,1,2,60,60,,15,10,15
149,32,3,2,1,2,60,60,,15,10,15
152,34,3,2,"0,5",2,50,50,,20,10,20
155,36,3,2,"0,5",2,50,50,,20,10,20
158,38,3,2,"0,5",2,50,50,,20,10,20
161,40,3,2,"0,5",2,50,50,,20,10,20
474,50,313,10,"0,5",2,40,40,,20,20,20
